,heat_Demand_MT,heat_Demand_HT,heat_Waste_Heat_MT,heat_Waste_Heat_HT
2021-01-03 04:30:00,2230.606893,401.3,2603.725503,665.4871781
2021-01-03 04:45:00,2125.026204,422.3,2597.158454,520.5085148
2021-01-03 05:00:00,2328.06602,358.7,2797.505406,437.3479773
2021-01-03 05:15:00,2439.312299,309.7,2661.784231,353.7061295
2021-01-03 05:30:00,2401.806305,268.4,2679.810781,426.2248385
2021-01-03 05:45:00,2530.942585,289.8,2790.135792,433.4275003
2021-01-03 06:00:00,2662.792465,316.0,2749.744792,463.5153549
2021-01-03 06:15:00,2660.220194,312.3,2817.144857,792.797309
2021-01-03 06:30:00,2743.901156,493.9,2847.427188,603.6564931
2021-01-03 06:45:00,2659.989796,424.7,2933.288942,429.7953212
2021-01-03 07:00:00,2725.888441,348.8,3071.353839,450.0154566
2021-01-03 07:15:00,2675.100069,258.5,3047.796975,447.3130226
2021-01-03 07:30:00,2690.642209,307.0,2965.859081,463.8660302
2021-01-03 07:45:00,2761.874079,296.3,2808.562756,718.0314156
2021-01-03 08:00:00,2765.565119,425.3,2929.847033,637.0446052
2021-01-03 08:15:00,2742.663488,431.0,3055.292864,420.9196007
2021-01-03 08:30:00,2762.779833,298.0,3298.661247,460.3010469
2021-01-03 08:45:00,2760.66386,313.7,3484.310186,553.4242785
2021-01-03 09:00:00,2754.11729,353.7,3541.364122,553.8940517
2021-01-03 09:15:00,2808.360752,368.6,3421.701367,646.9881809
2021-01-03 09:30:00,2813.604709,403.5,3380.061278,418.2101688
2021-01-03 09:45:00,2810.908851,264.1,3326.310043,412.3416066
2021-01-03 10:00:00,2706.610415,248.1,3206.067547,511.861716
2021-01-03 10:15:00,2610.425845,283.9,3189.559878,690.9968882
2021-01-03 10:30:00,2539.517448,356.1,3069.224858,609.5758264
2021-01-03 10:45:00,2402.083835,348.3,2777.406994,552.0751472
2021-01-03 11:00:00,2374.419187,323.2,2750.538242,413.3334038
2021-01-03 11:15:00,2235.3975,263.8,3011.172644,343.8934729
2021-01-03 11:30:00,2192.665804,189.1,3162.334172,362.9133462
2021-01-03 11:45:00,2289.754911,208.7,3143.177869,512.8150351
2021-01-03 12:00:00,2250.232255,286.3,3006.724808,524.1664839
2021-01-03 12:15:00,2272.272976,306.5,3173.910878,278.0179868
2021-01-03 12:30:00,2159.386458,176.1,3440.01184,415.8760628
2021-01-03 12:45:00,2176.313228,226.0,3543.728897,455.7006972
2021-01-03 13:00:00,2201.810881,246.2,3464.739433,339.4480944
2021-01-03 13:15:00,2129.758166,247.7,3273.885017,621.0699684
2021-01-03 13:30:00,2205.542208,362.6,3026.419919,559.0353601
2021-01-03 13:45:00,2166.621564,341.8,2989.541347,307.519699
2021-01-03 14:00:00,2147.808713,195.8,3060.699694,357.1458337
2021-01-03 14:15:00,2122.93894,284.8,2967.306238,498.3218479
2021-01-03 14:30:00,2055.396384,338.2,3100.544981,385.3118172
2021-01-03 14:45:00,2009.713863,260.5,3130.156367,518.5542396
2021-01-03 15:00:00,2042.665417,318.9,2907.843625,351.066501
2021-01-03 15:15:00,2021.731291,245.2,2651.875725,273.9920432
2021-01-03 15:30:00,2034.711926,198.8,2786.234892,377.5504069
2021-01-03 15:45:00,1941.453994,282.7,2961.010958,398.6193767
2021-01-03 16:00:00,1918.837941,287.8,2788.046289,700.0764472
2021-01-03 16:15:00,1803.664407,427.5,2764.408647,436.6511903
2021-01-03 16:30:00,1791.985097,315.7,2848.809172,269.2217359
2021-01-03 16:45:00,1855.613794,243.9,3250.889908,140.2348023
2021-01-03 17:00:00,1907.282934,159.1,3179.657086,289.9518991
2021-01-03 17:15:00,1916.903731,250.4,3269.707661,329.2763569
2021-01-03 17:30:00,1944.431804,235.2,3171.211197,611.502709
2021-01-03 17:45:00,1963.511111,348.6,3069.584308,381.3442717
2021-01-03 18:00:00,2009.271507,254.3,2841.099989,366.4149698
2021-01-03 18:15:00,1756.868644,272.0,3272.095425,459.7623571
2021-01-03 18:30:00,1677.973973,330.5,3342.731842,396.7560243
2021-01-03 18:45:00,1792.823355,262.5,3060.049481,399.2881149
2021-01-03 19:00:00,1807.177424,274.7,2773.535936,538.5897615
2021-01-03 19:15:00,1823.367336,357.2,2743.680242,246.9650154
2021-01-03 19:30:00,1857.923423,225.6,3003.417739,274.9858776
2021-01-03 19:45:00,1825.847514,218.9,3067.698825,395.4612076
2021-01-03 20:00:00,1820.385168,342.0,3223.310544,562.6405003
2021-01-03 20:15:00,1776.210491,368.1,2994.645158,669.7216941
2021-01-03 20:30:00,1762.941219,404.3,2886.432119,503.1988569
2021-01-03 20:45:00,1790.855842,366.3,2870.667147,243.5886955
2021-01-03 21:00:00,1821.344728,211.6,3009.481717,309.7967505
2021-01-03 21:15:00,1834.415161,241.8,2927.717144,282.6419526
2021-01-03 21:30:00,1754.100172,230.2,3059.554256,404.4815083
2021-01-03 21:45:00,1851.149673,269.0,3279.227942,620.1244149
2021-01-03 22:00:00,1798.039301,389.4,3321.191061,267.0271431
2021-01-03 22:15:00,1912.095593,205.1,2617.376953,342.2765406
2021-01-03 22:30:00,1879.062709,233.9,2433.216917,283.2554974
2021-01-03 22:45:00,1827.475251,208.0,2568.473256,291.8053002
2021-01-03 23:00:00,1796.775544,207.2,2774.573847,556.3534767
2021-01-03 23:15:00,1693.412128,341.0,2668.932628,405.2130444
2021-01-03 23:30:00,1679.696579,277.2,2775.528083,439.7800753
2021-01-03 23:45:00,1662.307981,299.9,2659.414208,421.9196413
2021-01-04 00:00:00,1648.563749,311.0,2171.643668,460.3449865
2021-01-04 00:15:00,1542.285189,357.8,2468.128031,311.3037289
2021-01-04 00:30:00,1691.153539,278.7,2481.798969,253.6502009
2021-01-04 00:45:00,2052.161293,204.0,2475.420611,305.6690253
2021-01-04 01:00:00,2013.037744,224.0,2634.751358,273.4521149
2021-01-04 01:15:00,2029.322768,201.0,2412.369203,491.9644361
2021-01-04 01:30:00,1933.869376,334.3,2386.326883,514.4014321
2021-01-04 01:45:00,1862.240869,335.6,2342.746692,303.6965173
2021-01-04 02:00:00,1805.785376,240.2,2244.951411,244.700321
2021-01-04 02:15:00,1810.056304,202.1,2331.734822,269.6529616
2021-01-04 02:30:00,1828.625967,213.6,2236.918371,268.7554533
2021-01-04 02:45:00,1808.344351,269.2,2280.082042,740.5638552
2021-01-04 03:00:00,1834.096738,441.8,2412.897469,295.2456227
2021-01-04 03:15:00,1857.319789,236.8,2488.83205,485.7358677
2021-01-04 03:30:00,1928.059113,348.8,2405.778111,241.3917181
2021-01-04 03:45:00,1945.539145,225.3,2420.564769,303.9336115
2021-01-04 04:00:00,1951.339824,237.5,2198.229329,359.1630694
